1,Sony,MDRZX110NCB,f,t
2,JBL,JBLLIVE660NCBLKAM,t,t
3,Bose,866724-0100,t,t
4,Sony,MDRZX110B,t,t
5,Apple,MGYH3AMA,t,f
6,Sennheiser,M4AEBT Black,t,t
7,eKids,GA-B52.Exv23X,t,f
8,Sennheiser,HD 560s,f,f
9,JVC,HAS160B,f,f
10,Bose,794297-0100,t,t
11,Skullcandy,S6EVW-N740,t,f
12,JLab,JKSTUDIO-GRYPRPL-BOX,f,f
13,Insignia,NS-HAWHP2,t,f
14,Sennheiser,HD 599,f,f
15,Audio Technica,AUD ATHAVC400,f,f
16,TASCAM,TH-02-B,f,f
17,Audio Technica,AUD ATHM40X,f,f
18,3M,90543H1-DC-PS,t,f
19,Marshall,1006127,t,f
20,Anker,A3004Z11,t,t
